Province,County,Povy,MeanNTL,NonAgriculturalPopu,PopuDensity,ImmigrantPopu,PerHousing,EducationYear,ConstructionLand,Popu65,v24,v21,v16,RailwayDensity,v13,v9,RoadDensity
江苏省,吴江区,0,0.10914109498701163,0.20128808014720911,0.024620059581592725,0.08180940154730099,0.5729970326409496,0.6220825852782764,0.19234,0.8400000000000001,0.08369741912320205,0.14582441524631082,0.18132460932096867,0.0,0.4225922432256445,0.7656426543738564,0.00195276116944552
江苏省,吴中区,0,0.06984931002133253,0.2678388877530157,0.008616410053952375,0.09206267071750332,0.5627596439169139,0.7037701974865349,0.08417999999999999,0.5200000000000001,0.043989398175268785,0.051856452466982776,0.9700809226636004,0.0023196635786179964,0.3584388027463336,0.4541288169550123,0.0004355618161596195
江苏省,武进区,0,0.09209829680383676,0.14291555919034962,0.023675260754964216,0.10150437348467538,0.6238872403560831,0.6418312387791741,0.22446,0.07999999999999997,0.5304264241813516,0.3792990429994156,0.3677964156517725,0.01893119473020384,0.5206083063844639,0.4543180815482988,0.002580870622320893
江苏省,锡山区,0,0.1492580058888913,0.1876916785933347,0.026178457511491064,0.04656217370747244,0.5649851632047478,0.6597845601436265,0.2913,0.4000000000000001,0.3294470683932141,0.5032392651815183,0.4727150990314371,0.03667318430372871,0.4551435475929437,0.8608737678430919,0.0036355531673077242
江苏省,响水县,0,0.02680807849378137,0.20108362298098548,0.008495363569716492,0.002399774603171123,0.4050445103857567,0.544883303411131,0.33602,0.6800000000000002,0.7044091017343751,0.5779955814437541,0.7075470635569171,0.004394350894960125,0.3451177871376729,0.018851892694333815,0.0006777654452384459
江苏省,新北区,0,0.15785448679643693,0.2635452872623185,0.031456020599216684,0.032019912350202025,0.6535608308605342,0.7046678635547575,0.31346999999999997,0.6000000000000001,0.08051155090820103,0.1663298411818465,0.357869236037083,0.03807073820385783,0.7966327125881819,0.7025114617961643,0.0017842505435550747
江苏省,新浦区,0,0.06051439558364114,0.6387241872827643,0.044726151019247984,0.020901985111468218,0.4991097922848665,0.8132854578096947,0.20048,1.0,0.19506853975974767,0.2562524648221772,0.09483289956793343,0.0310689360823634,0.5874561339968789,0.8427356792179386,0.002628871973938782
江苏省,兴化市,0,0.009127471894631574,0.1645880188100593,0.01209103268239168,0.007123679932117842,0.4854599406528191,0.5161579892280072,0.08016999999999999,0.9600000000000002,0.9909738939444076,0.2642887146319503,0.1472136343848575,0.0012167947163139207,0.9328258313790656,0.7189490303803949,0.0009668971454517986
江苏省,宿城区,0,0.03809976438242497,0.3418523819259865,0.02695853131962459,0.0063417133071988685,0.5581602373887241,0.6149012567324954,0.28838,0.07999999999999997,0.8502179763571537,0.924162923531186,0.4269114431655172,0.010938309031133157,0.12632370572674045,0.15630825219981626,0.0009988887298595284
江苏省,宿豫区,0,0.02037581158024776,0.2235739112655898,0.011684532820219248,0.004405511948522071,0.5691394658753709,0.5628366247755834,0.21126,0.6400000000000001,0.9781443224193712,0.5808489487335826,0.2868269625947276,0.0,0.7566063607866022,0.6363525211111808,0.0008352805361769422
江苏省,盱眙县,0,0.00480059198528706,0.2923737476998569,0.006087127064291907,0.0021612536398721853,0.4741839762611277,0.5655296229802513,0.12029000000000001,0.36000000000000004,0.4656338894283745,0.3370757790570159,0.9105999576488252,0.0,0.5414387612371627,0.3787285838146868,0.00042568428171117306
江苏省,玄武区,0,0.2657524746037693,0.8496217542424861,0.17914313404776738,0.031094958437369768,0.3740356083086054,0.9928186714542191,0.50649,0.36000000000000004,0.9269158074772494,0.26111297464630684,0.971638272121892,0.2698651370000017,0.4838777833608099,0.8609103971871698,0.007085087820840151
江苏省,宜兴市,0,0.03861991881875405,0.2476998568799836,0.01448788032017988,0.037514038360372766,0.6624629080118695,0.6436265709156194,0.11974000000000001,0.9200000000000002,0.9723213997349232,0.6068944005157686,0.5274635741396424,0.012726635745746987,0.1885121489043192,0.8754940620517696,0.0017856480441844531
江苏省,张家港市,0,0.12629845099247322,0.2919648333674095,0.03000152222714078,0.059990606377295676,0.7268545994065282,0.6840215439856372,0.2523,0.44,0.7810661757527066,0.18439794470401288,0.1333734825946947,0.007403753464451924,0.9570705213592049,0.028795815146852723,0.0022447102309277
江苏省,钟楼区,0,0.3181828033227961,0.7144755673686363,0.2496145520460912,0.02998520167707018,0.4623145400593473,0.8105924596050268,0.81818,0.76,0.20757872426742527,0.35355883630545804,0.12480521511000693,0.05386742598208725,0.5364484166126164,0.1879879948179375,0.005061070889303886
